generating_model,participant_id,trial,FirstRating,GroupRating,SecondRating_continuous,SecondRating_noisy_continuous,SecondRating,observed_change,social_gap,change,true_w_direct,true_w_social
WBA,21,23,8,5,5.487179487179487,4.860814075459965,5,-3,-3,-2.5128205128205128,0.5,2.0
WBA,21,24,1,6,4.948717948717949,4.226759936622608,4,3,5,3.948717948717949,0.5,2.0
WBA,21,25,4,3,3.333333333333333,2.22467346612044,2,-2,-1,-0.666666666666667,0.5,2.0
WBA,21,26,4,8,6.923076923076923,7.375756970065446,7,3,4,2.9230769230769234,0.5,2.0
WBA,21,27,2,4,3.6923076923076925,4.839688309017722,5,3,2,1.6923076923076925,0.5,2.0
WBA,21,28,1,6,4.948717948717949,5.447465844048444,5,4,5,3.948717948717949,0.5,2.0
WBA,21,29,1,6,4.948717948717949,4.773383881492415,5,4,5,3.948717948717949,0.5,2.0
WBA,21,30,2,4,3.6923076923076925,3.3710047544155484,3,1,2,1.6923076923076925,0.5,2.0
WBA,21,31,5,7,6.384615384615385,6.459584948247624,6,1,2,1.384615384615385,0.5,2.0
WBA,21,32,8,3,4.051282051282051,4.19959055136528,4,-4,-5,-3.948717948717949,0.5,2.0
WBA,21,33,5,3,3.5128205128205128,2.7061003448853027,3,-2,-2,-1.4871794871794872,0.5,2.0
WBA,21,34,8,3,4.051282051282051,4.874261215184771,5,-3,-5,-3.948717948717949,0.5,2.0
WBA,21,35,1,7,5.666666666666666,5.610091945175357,6,5,6,4.666666666666666,0.5,2.0
WBA,21,36,4,7,6.205128205128205,6.661400215322795,7,3,3,2.2051282051282053,0.5,2.0
WBA,21,37,4,3,3.333333333333333,4.340987632429165,4,0,-1,-0.666666666666667,0.5,2.0
WBA,21,38,1,3,2.7948717948717947,3.656352343079452,4,3,2,1.7948717948717947,0.5,2.0
WBA,21,39,1,3,2.7948717948717947,2.29124012849167,2,1,2,1.7948717948717947,0.5,2.0
WBA,21,40,1,7,5.666666666666666,5.182448836093891,5,4,6,4.666666666666666,0.5,2.0
WBA,21,41,2,2,2.2564102564102564,1.4548002983568946,1,-1,0,0.2564102564102564,0.5,2.0
WBA,21,42,1,2,2.076923076923077,2.6814710100226677,3,2,1,1.076923076923077,0.5,2.0
WBA,21,43,3,7,6.0256410256410255,5.2207936527449466,5,2,4,3.0256410256410255,0.5,2.0
WBA,21,44,3,2,2.435897435897436,2.687617643591503,3,0,-1,-0.5641025641025639,0.5,2.0
WBA,21,45,4,4,4.051282051282051,3.687276357682568,4,0,0,0.0512820512820511,0.5,2.0
WBA,21,46,7,3,3.871794871794872,3.8897344731205035,4,-3,-4,-3.128205128205128,0.5,2.0
WBA,21,47,4,6,5.487179487179487,5.113891268608903,5,1,2,1.4871794871794872,0.5,2.0
WBA,21,48,3,8,6.743589743589744,6.400517562878287,6,3,5,3.7435897435897436,0.5,2.0
WBA,21,49,6,6,5.846153846153846,6.314875082327461,6,0,0,-0.1538461538461542,0.5,2.0
WBA,21,50,1,3,2.7948717948717947,2.9441008230768357,3,2,2,1.7948717948717947,0.5,2.0
WBA,21,51,2,4,3.6923076923076925,3.6092031153121704,4,2,2,1.6923076923076925,0.5,2.0
WBA,21,52,1,7,5.666666666666666,6.021903328899255,6,5,6,4.666666666666666,0.5,2.0
WBA,21,53,1,6,4.948717948717949,4.332260434483729,4,3,5,3.948717948717949,0.5,2.0
WBA,21,54,5,3,3.5128205128205128,3.701257551990031,4,-1,-2,-1.4871794871794872,0.5,2.0
WBA,21,55,4,4,4.051282051282051,3.6173894866864233,4,0,0,0.0512820512820511,0.5,2.0
WBA,21,56,4,1,1.8974358974358974,1.9122672860411283,2,-2,-3,-2.1025641025641026,0.5,2.0
WBA,21,57,4,1,1.8974358974358974,2.0078844482511817,2,-2,-3,-2.1025641025641026,0.5,2.0
WBA,21,58,2,7,5.846153846153846,6.317095138250873,6,4,5,3.846153846153846,0.5,2.0
WBA,21,59,3,1,1.717948717948718,1.3258314298374292,1,-2,-2,-1.282051282051282,0.5,2.0
WBA,21,60,7,6,6.0256410256410255,5.950191521179901,6,-1,-1,-0.9743589743589745,0.5,2.0
WBA,21,61,8,6,6.205128205128205,5.385386341804142,5,-3,-2,-1.7948717948717947,0.5,2.0
WBA,21,62,5,3,3.5128205128205128,3.5078546074481283,4,-1,-2,-1.4871794871794872,0.5,2.0
WBA,21,63,3,7,6.0256410256410255,6.60159884837921,7,4,4,3.0256410256410255,0.5,2.0
WBA,21,64,8,8,7.6410256410256405,8.715526010680826,8,0,0,-0.3589743589743595,0.5,2.0
WBA,21,65,4,3,3.333333333333333,3.3673623814403966,3,-1,-1,-0.666666666666667,0.5,2.0
WBA,21,66,3,5,4.589743589743589,3.948383331817738,4,1,2,1.5897435897435894,0.5,2.0
WBA,21,67,8,4,4.769230769230769,5.270085262292195,5,-3,-4,-3.230769230769231,0.5,2.0
WBA,21,68,1,3,2.7948717948717947,2.7146081671613467,3,2,2,1.7948717948717947,0.5,2.0
WBA,21,69,2,7,5.846153846153846,6.051110834606437,6,4,5,3.846153846153846,0.5,2.0
WBA,21,70,4,5,4.769230769230769,5.129410639993811,5,1,1,0.7692307692307692,0.5,2.0
WBA,21,71,1,3,2.7948717948717947,3.1108082807162742,3,2,2,1.7948717948717947,0.5,2.0
WBA,21,72,4,2,2.6153846153846154,1.8734114426887984,2,-2,-2,-1.3846153846153846,0.5,2.0
WBA,21,73,5,3,3.5128205128205128,3.6860492805916567,4,-1,-2,-1.4871794871794872,0.5,2.0
WBA,21,74,3,7,6.0256410256410255,5.45263545638762,5,2,4,3.0256410256410255,0.5,2.0
WBA,21,75,8,1,2.6153846153846154,3.020387682480979,3,-5,-7,-5.384615384615385,0.5,2.0
WBA,21,76,1,2,2.076923076923077,2.9213537330494814,3,2,1,1.076923076923077,0.5,2.0
WBA,21,77,6,7,6.564102564102564,6.8219348459997615,7,1,1,0.5641025641025639,0.5,2.0
WBA,21,78,4,8,6.923076923076923,5.78397965574162,6,2,4,2.9230769230769234,0.5,2.0
WBA,21,79,7,7,6.743589743589744,7.173313727713602,7,0,0,-0.2564102564102564,0.5,2.0
WBA,21,80,8,6,6.205128205128205,6.012537827398171,6,-2,-2,-1.7948717948717947,0.5,2.0
WBA,22,1,4,5,4.769230769230769,5.30895689209237,5,1,1,0.7692307692307692,0.5,2.0
WBA,22,2,5,7,6.384615384615385,7.40597402600757,7,2,2,1.384615384615385,0.5,2.0
WBA,22,3,7,5,5.307692307692308,5.932325480135758,6,-1,-2,-1.6923076923076916,0.5,2.0
WBA,22,4,6,3,3.6923076923076925,3.411816237938276,3,-3,-3,-2.3076923076923075,0.5,2.0
WBA,22,5,2,8,6.564102564102564,5.853345008374053,6,4,6,4.564102564102564,0.5,2.0
WBA,22,6,5,3,3.5128205128205128,3.5504446569386103,4,-1,-2,-1.4871794871794872,0.5,2.0
WBA,22,7,8,1,2.6153846153846154,2.2148906352085707,2,-6,-7,-5.384615384615385,0.5,2.0
WBA,22,8,8,5,5.487179487179487,6.321658088204016,6,-2,-3,-2.5128205128205128,0.5,2.0
WBA,22,9,4,6,5.487179487179487,5.983565551886404,6,2,2,1.4871794871794872,0.5,2.0
WBA,22,10,4,5,4.769230769230769,4.381924876348311,4,0,1,0.7692307692307692,0.5,2.0
WBA,22,11,7,1,2.435897435897436,2.9215614807451518,3,-4,-6,-4.564102564102564,0.5,2.0
WBA,22,12,1,5,4.230769230769231,3.952157166845115,4,3,4,3.230769230769231,0.5,2.0
WBA,22,13,8,2,3.333333333333333,3.8696327651116658,4,-4,-6,-4.666666666666667,0.5,2.0
WBA,22,14,5,7,6.384615384615385,6.191953697547711,6,1,2,1.384615384615385,0.5,2.0
WBA,22,15,6,8,7.282051282051282,7.73537582129983,8,2,2,1.282051282051282,0.5,2.0
WBA,22,16,8,1,2.6153846153846154,2.248010579922124,2,-6,-7,-5.384615384615385,0.5,2.0
WBA,22,17,8,6,6.205128205128205,5.40038743695613,5,-3,-2,-1.7948717948717947,0.5,2.0
WBA,22,18,6,6,5.846153846153846,5.193007610676785,5,-1,0,-0.1538461538461542,0.5,2.0
WBA,22,19,6,2,2.9743589743589745,2.7638246826812813,3,-3,-4,-3.0256410256410255,0.5,2.0
WBA,22,20,5,4,4.230769230769231,4.2024265942945425,4,-1,-1,-0.7692307692307692,0.5,2.0
WBA,22,21,8,4,4.769230769230769,3.930396667630126,4,-4,-4,-3.230769230769231,0.5,2.0
WBA,22,22,2,1,1.5384615384615385,1.4922830287197977,1,-1,-1,-0.46153846153846145,0.5,2.0
WBA,22,23,6,4,4.410256410256411,4.805118740619615,5,-1,-2,-1.5897435897435894,0.5,2.0
WBA,22,24,5,2,2.7948717948717947,3.24032738396856,3,-2,-3,-2.2051282051282053,0.5,2.0
WBA,22,25,6,6,5.846153846153846,5.580514271484143,6,0,0,-0.1538461538461542,0.5,2.0
WBA,22,26,1,2,2.076923076923077,1.2735311974988093,1,0,1,1.076923076923077,0.5,2.0
WBA,22,27,5,5,4.948717948717949,6.225904333514244,6,1,0,-0.0512820512820511,0.5,2.0
WBA,22,28,2,6,5.128205128205129,4.36746477029255,4,2,4,3.1282051282051286,0.5,2.0
WBA,22,29,1,8,6.384615384615385,6.396954462181391,6,5,7,5.384615384615385,0.5,2.0
WBA,22,30,5,6,5.666666666666666,6.484644882308584,6,1,1,0.6666666666666661,0.5,2.0
WBA,22,31,4,8,6.923076923076923,6.7358424893519615,7,3,4,2.9230769230769234,0.5,2.0
WBA,22,32,1,1,1.358974358974359,1.3731610493087758,1,0,0,0.35897435897435903,0.5,2.0
WBA,22,33,1,2,2.076923076923077,1.8436058327635667,2,1,1,1.076923076923077,0.5,2.0
WBA,22,34,7,3,3.871794871794872,3.895926609540434,4,-3,-4,-3.128205128205128,0.5,2.0
WBA,22,35,4,3,3.333333333333333,3.6071494052381254,4,0,-1,-0.666666666666667,0.5,2.0
WBA,22,36,7,2,3.153846153846154,3.276424351132935,3,-4,-5,-3.846153846153846,0.5,2.0
WBA,22,37,4,5,4.769230769230769,4.282276145731208,4,0,1,0.7692307692307692,0.5,2.0
WBA,22,38,1,6,4.948717948717949,5.372618060144633,5,4,5,3.948717948717949,0.5,2.0
WBA,22,39,7,7,6.743589743589744,7.374035559604027,7,0,0,-0.2564102564102564,0.5,2.0
WBA,22,40,5,1,2.076923076923077,1.3424072054673193,1,-4,-4,-2.923076923076923,0.5,2.0
WBA,22,41,1,8,6.384615384615385,5.79731757210505,6,5,7,5.384615384615385,0.5,2.0
WBA,22,42,4,1,1.8974358974358974,1.9205566564379533,2,-2,-3,-2.1025641025641026,0.5,2.0
WBA,22,43,2,7,5.846153846153846,6.003588310304398,6,4,5,3.846153846153846,0.5,2.0
WBA,22,44,8,5,5.487179487179487,6.0609866055914985,6,-2,-3,-2.5128205128205128,0.5,2.0
WBA,22,45,4,5,4.769230769230769,4.9655451313127115,5,1,1,0.7692307692307692,0.5,2.0
WBA,22,46,5,4,4.230769230769231,3.9913852067669935,4,-1,-1,-0.7692307692307692,0.5,2.0
WBA,22,47,7,3,3.871794871794872,4.565699011907536,5,-2,-4,-3.128205128205128,0.5,2.0
WBA,22,48,1,7,5.666666666666666,5.739098675071718,6,5,6,4.666666666666666,0.5,2.0
WBA,22,49,1,1,1.358974358974359,1.7986947795837254,2,1,0,0.35897435897435903,0.5,2.0
WBA,22,50,1,5,4.230769230769231,3.839948559691675,4,3,4,3.230769230769231,0.5,2.0
WBA,22,51,4,5,4.769230769230769,4.986546721229745,5,1,1,0.7692307692307692,0.5,2.0
WBA,22,52,5,8,7.102564102564102,7.445437299888269,7,2,3,2.102564102564102,0.5,2.0
WBA,22,53,1,4,3.5128205128205128,4.786396432894653,5,4,3,2.5128205128205128,0.5,2.0
WBA,22,54,6,7,6.564102564102564,6.190331209903673,6,0,1,0.5641025641025639,0.5,2.0
WBA,22,55,8,3,4.051282051282051,4.399220571558286,4,-4,-5,-3.948717948717949,0.5,2.0
WBA,22,56,6,7,6.564102564102564,7.026505955968423,7,1,1,0.5641025641025639,0.5,2.0
WBA,22,57,7,2,3.153846153846154,3.457158506050854,3,-4,-5,-3.846153846153846,0.5,2.0
WBA,22,58,3,2,2.435897435897436,2.258938334667004,2,-1,-1,-0.5641025641025639,0.5,2.0
WBA,22,59,1,7,5.666666666666666,5.592783534430613,6,5,6,4.666666666666666,0.5,2.0
WBA,22,60,7,8,7.461538461538462,7.571532075770059,8,1,1,0.4615384615384617,0.5,2.0
WBA,22,61,4,6,5.487179487179487,5.74865647355642,6,2,2,1.4871794871794872,0.5,2.0
WBA,22,62,3,6,5.307692307692308,6.07437683319762,6,3,3,2.3076923076923084,0.5,2.0
WBA,22,63,1,5,4.230769230769231,4.581869349694132,5,4,4,3.230769230769231,0.5,2.0
WBA,22,64,8,1,2.6153846153846154,2.0501182668309115,2,-6,-7,-5.384615384615385,0.5,2.0
WBA,22,65,8,4,4.769230769230769,3.9007181739125585,4,-4,-4,-3.230769230769231,0.5,2.0
WBA,22,66,6,6,5.846153846153846,5.8783703931858415,6,0,0,-0.1538461538461542,0.5,2.0
WBA,22,67,6,1,2.2564102564102564,2.262976718072713,2,-4,-5,-3.7435897435897436,0.5,2.0
WBA,22,68,1,6,4.948717948717949,5.286248476652067,5,4,5,3.948717948717949,0.5,2.0
WBA,22,69,4,8,6.923076923076923,6.928426211341152,7,3,4,2.9230769230769234,0.5,2.0
WBA,22,70,1,7,5.666666666666666,5.154122561533673,5,4,6,4.666666666666666,0.5,2.0
WBA,22,71,8,3,4.051282051282051,3.722023329229778,4,-4,-5,-3.948717948717949,0.5,2.0
WBA,22,72,3,8,6.743589743589744,6.536941014225592,7,4,5,3.7435897435897436,0.5,2.0
WBA,22,73,7,1,2.435897435897436,1.8612718945606541,2,-5,-6,-4.564102564102564,0.5,2.0
WBA,22,74,2,3,2.9743589743589745,2.626186094267132,3,1,1,0.9743589743589745,0.5,2.0
WBA,22,75,6,4,4.410256410256411,4.416352536305368,4,-2,-2,-1.5897435897435894,0.5,2.0
WBA,22,76,4,4,4.051282051282051,3.7771725712092294,4,0,0,0.0512820512820511,0.5,2.0
WBA,22,77,5,7,6.384615384615385,6.548092265871476,7,2,2,1.384615384615385,0.5,2.0
WBA,22,78,3,6,5.307692307692308,5.575704513558219,6,3,3,2.3076923076923084,0.5,2.0
WBA,22,79,5,8,7.102564102564102,7.357878815080299,7,2,3,2.102564102564102,0.5,2.0
WBA,22,80,5,2,2.7948717948717947,2.8471502645764217,3,-2,-3,-2.2051282051282053,0.5,2.0
WBA,23,1,5,7,6.384615384615385,6.10458111626151,6,1,2,1.384615384615385,0.5,2.0
WBA,23,2,7,4,4.589743589743589,4.0256069787823225,4,-3,-3,-2.4102564102564106,0.5,2.0
WBA,23,3,2,1,1.5384615384615385,1.9739001863124612,2,0,-1,-0.46153846153846145,0.5,2.0
WBA,23,4,3,5,4.589743589743589,4.72373499940287,5,2,2,1.5897435897435894,0.5,2.0
WBA,23,5,5,4,4.230769230769231,4.633156953513609,5,0,-1,-0.7692307692307692,0.5,2.0
WBA,23,6,4,3,3.333333333333333,2.975480993528228,3,-1,-1,-0.666666666666667,0.5,2.0
WBA,23,7,5,7,6.384615384615385,6.406258164725327,6,1,2,1.384615384615385,0.5,2.0
WBA,23,8,1,3,2.7948717948717947,2.030132669026146,2,1,2,1.7948717948717947,0.5,2.0
WBA,23,9,5,6,5.666666666666666,5.7802550672295,6,1,1,0.6666666666666661,0.5,2.0
WBA,23,10,4,2,2.6153846153846154,2.118367085069818,2,-2,-2,-1.3846153846153846,0.5,2.0
WBA,23,11,3,5,4.589743589743589,4.061007839271642,4,1,2,1.5897435897435894,0.5,2.0
WBA,23,12,3,8,6.743589743589744,6.693891029414925,7,4,5,3.7435897435897436,0.5,2.0
WBA,23,13,3,1,1.717948717948718,1.4909576216627602,1,-2,-2,-1.282051282051282,0.5,2.0
WBA,23,14,5,8,7.102564102564102,6.973023442150093,7,2,3,2.102564102564102,0.5,2.0
WBA,23,15,3,8,6.743589743589744,6.394674168480519,6,3,5,3.7435897435897436,0.5,2.0
WBA,23,16,1,6,4.948717948717949,5.28761870275414,5,4,5,3.948717948717949,0.5,2.0
WBA,23,17,2,1,1.5384615384615385,1.8610933353142123,2,0,-1,-0.46153846153846145,0.5,2.0
WBA,23,18,2,6,5.128205128205129,5.297809348246186,5,3,4,3.1282051282051286,0.5,2.0
WBA,23,19,3,6,5.307692307692308,5.509887532586957,6,3,3,2.3076923076923084,0.5,2.0
WBA,23,20,3,5,4.589743589743589,4.385194275241579,4,1,2,1.5897435897435894,0.5,2.0
WBA,23,21,2,8,6.564102564102564,7.5619818477543275,8,6,6,4.564102564102564,0.5,2.0
WBA,23,22,4,7,6.205128205128205,6.823435841521541,7,3,3,2.2051282051282053,0.5,2.0
WBA,23,23,3,3,3.153846153846154,3.089865348271199,3,0,0,0.1538461538461542,0.5,2.0
WBA,23,24,1,1,1.358974358974359,1.5446631862716957,2,1,0,0.35897435897435903,0.5,2.0
WBA,23,25,2,4,3.6923076923076925,2.943634863574596,3,1,2,1.6923076923076925,0.5,2.0
WBA,23,26,8,1,2.6153846153846154,2.0929758307740975,2,-6,-7,-5.384615384615385,0.5,2.0
WBA,23,27,8,1,2.6153846153846154,2.9982420666960783,3,-5,-7,-5.384615384615385,0.5,2.0
WBA,23,28,4,2,2.6153846153846154,3.4632403163748178,3,-1,-2,-1.3846153846153846,0.5,2.0
WBA,23,29,3,8,6.743589743589744,7.459557665377886,7,4,5,3.7435897435897436,0.5,2.0
WBA,23,30,8,4,4.769230769230769,4.5984113674707805,5,-3,-4,-3.230769230769231,0.5,2.0
WBA,23,31,3,3,3.153846153846154,3.221025578435877,3,0,0,0.1538461538461542,0.5,2.0
WBA,23,32,2,6,5.128205128205129,4.683859478693255,5,3,4,3.1282051282051286,0.5,2.0
WBA,23,33,8,1,2.6153846153846154,2.433938659610513,2,-6,-7,-5.384615384615385,0.5,2.0
WBA,23,34,5,1,2.076923076923077,2.7608227637533753,3,-2,-4,-2.923076923076923,0.5,2.0
WBA,23,35,1,5,4.230769230769231,4.192249707706028,4,3,4,3.230769230769231,0.5,2.0
WBA,23,36,4,3,3.333333333333333,2.962223669120685,3,-1,-1,-0.666666666666667,0.5,2.0
WBA,23,37,8,2,3.333333333333333,3.2230906837583775,3,-5,-6,-4.666666666666667,0.5,2.0
WBA,23,38,1,6,4.948717948717949,4.318857665082611,4,3,5,3.948717948717949,0.5,2.0
WBA,23,39,7,1,2.435897435897436,3.074289020677497,3,-4,-6,-4.564102564102564,0.5,2.0
WBA,23,40,6,3,3.6923076923076925,4.197686922582188,4,-2,-3,-2.3076923076923075,0.5,2.0
WBA,23,41,8,2,3.333333333333333,3.927733029104647,4,-4,-6,-4.666666666666667,0.5,2.0
WBA,23,42,4,8,6.923076923076923,5.917503386022522,6,2,4,2.9230769230769234,0.5,2.0
WBA,23,43,2,8,6.564102564102564,6.472348627838052,6,4,6,4.564102564102564,0.5,2.0
WBA,23,44,7,2,3.153846153846154,3.0793182856809667,3,-4,-5,-3.846153846153846,0.5,2.0
WBA,23,45,7,1,2.435897435897436,3.527546081217095,4,-3,-6,-4.564102564102564,0.5,2.0
WBA,23,46,5,5,4.948717948717949,4.310447707396735,4,-1,0,-0.0512820512820511,0.5,2.0
WBA,23,47,3,7,6.0256410256410255,6.1784383247064145,6,3,4,3.0256410256410255,0.5,2.0
WBA,23,48,7,6,6.0256410256410255,5.902301598607957,6,-1,-1,-0.9743589743589745,0.5,2.0
WBA,23,49,6,7,6.564102564102564,6.8689232565643215,7,1,1,0.5641025641025639,0.5,2.0
WBA,23,50,7,5,5.307692307692308,5.051511016987787,5,-2,-2,-1.6923076923076916,0.5,2.0
WBA,23,51,6,5,5.128205128205129,4.674345910302654,5,-1,-1,-0.8717948717948714,0.5,2.0
WBA,23,52,2,3,2.9743589743589745,3.1440420684525465,3,1,1,0.9743589743589745,0.5,2.0
WBA,23,53,3,7,6.0256410256410255,6.262183829943292,6,3,4,3.0256410256410255,0.5,2.0
WBA,23,54,3,6,5.307692307692308,5.108629180891219,5,2,3,2.3076923076923084,0.5,2.0
WBA,23,55,3,2,2.435897435897436,2.8182415328732167,3,0,-1,-0.5641025641025639,0.5,2.0
WBA,23,56,4,2,2.6153846153846154,3.025244688060425,3,-1,-2,-1.3846153846153846,0.5,2.0
WBA,23,57,1,6,4.948717948717949,5.319679173815197,5,4,5,3.948717948717949,0.5,2.0
WBA,23,58,6,8,7.282051282051282,7.333977923347573,7,1,2,1.282051282051282,0.5,2.0
WBA,23,59,7,1,2.435897435897436,2.930743883924727,3,-4,-6,-4.564102564102564,0.5,2.0
WBA,23,60,6,8,7.282051282051282,8.017496913724184,8,2,2,1.282051282051282,0.5,2.0
WBA,23,61,5,3,3.5128205128205128,2.9362877774213527,3,-2,-2,-1.4871794871794872,0.5,2.0
WBA,23,62,2,3,2.9743589743589745,2.796107868815892,3,1,1,0.9743589743589745,0.5,2.0
WBA,23,63,7,2,3.153846153846154,3.1407693399331844,3,-4,-5,-3.846153846153846,0.5,2.0
WBA,23,64,8,5,5.487179487179487,5.3546302124549765,5,-3,-3,-2.5128205128205128,0.5,2.0
WBA,23,65,7,3,3.871794871794872,3.866622205464964,4,-3,-4,-3.128205128205128,0.5,2.0
WBA,23,66,4,1,1.8974358974358974,1.691398021254391,2,-2,-3,-2.1025641025641026,0.5,2.0
WBA,23,67,4,4,4.051282051282051,3.0210305214992994,3,-1,0,0.0512820512820511,0.5,2.0
WBA,23,68,6,8,7.282051282051282,6.890688324060157,7,1,2,1.282051282051282,0.5,2.0
WBA,23,69,4,7,6.205128205128205,5.062266786110387,5,1,3,2.2051282051282053,0.5,2.0
WBA,23,70,8,3,4.051282051282051,4.918947523509746,5,-3,-5,-3.948717948717949,0.5,2.0
WBA,23,71,6,5,5.128205128205129,4.920597235179869,5,-1,-1,-0.8717948717948714,0.5,2.0
WBA,23,72,2,1,1.5384615384615385,0.8850864395339909,1,-1,-1,-0.46153846153846145,0.5,2.0
WBA,23,73,7,5,5.307692307692308,4.123622790087642,4,-3,-2,-1.6923076923076916,0.5,2.0
WBA,23,74,8,5,5.487179487179487,5.943603915403941,6,-2,-3,-2.5128205128205128,0.5,2.0
WBA,23,75,4,8,6.923076923076923,7.074703390515225,7,3,4,2.9230769230769234,0.5,2.0
WBA,23,76,5,4,4.230769230769231,3.223124580855511,3,-2,-1,-0.7692307692307692,0.5,2.0
WBA,23,77,1,2,2.076923076923077,1.834080165827127,2,1,1,1.076923076923077,0.5,2.0
WBA,23,78,6,3,3.6923076923076925,3.706739567938881,4,-2,-3,-2.3076923076923075,0.5,2.0
WBA,23,79,6,5,5.128205128205129,5.041815653806591,5,-1,-1,-0.8717948717948714,0.5,2.0
WBA,23,80,3,8,6.743589743589744,6.822193707915248,7,4,5,3.7435897435897436,0.5,2.0
WBA,24,1,1,8,6.384615384615385,6.557020315274898,7,6,7,5.384615384615385,0.5,2.0
WBA,24,2,8,1,2.6153846153846154,2.6084413194774165,3,-5,-7,-5.384615384615385,0.5,2.0
WBA,24,3,3,6,5.307692307692308,4.594409814953902,5,2,3,2.3076923076923084,0.5,2.0
WBA,24,4,8,5,5.487179487179487,6.076428429890654,6,-2,-3,-2.5128205128205128,0.5,2.0
WBA,24,5,1,6,4.948717948717949,4.938461146970651,5,4,5,3.948717948717949,0.5,2.0
WBA,24,6,6,7,6.564102564102564,6.3826918458402,6,0,1,0.5641025641025639,0.5,2.0
WBA,24,7,2,1,1.5384615384615385,1.545847124021152,2,0,-1,-0.46153846153846145,0.5,2.0
WBA,24,8,2,5,4.410256410256411,4.575834071186461,5,3,3,2.4102564102564106,0.5,2.0
WBA,24,9,6,2,2.9743589743589745,2.3231885015316838,2,-4,-4,-3.0256410256410255,0.5,2.0
WBA,24,10,7,8,7.461538461538462,7.290233617005822,7,0,1,0.4615384615384617,0.5,2.0
WBA,24,11,1,2,2.076923076923077,2.0363740076312893,2,1,1,1.076923076923077,0.5,2.0
WBA,24,12,4,3,3.333333333333333,3.5000805527655103,4,0,-1,-0.666666666666667,0.5,2.0
WBA,24,13,4,8,6.923076923076923,7.8258667849029635,8,4,4,2.9230769230769234,0.5,2.0
WBA,24,14,8,1,2.6153846153846154,2.5459964516974813,3,-5,-7,-5.384615384615385,0.5,2.0
WBA,24,15,4,3,3.333333333333333,3.487681079614544,3,-1,-1,-0.666666666666667,0.5,2.0
WBA,24,16,5,7,6.384615384615385,6.56747808063796,7,2,2,1.384615384615385,0.5,2.0
WBA,24,17,7,5,5.307692307692308,5.084926159708879,5,-2,-2,-1.6923076923076916,0.5,2.0
WBA,24,18,4,7,6.205128205128205,6.364853403627798,6,2,3,2.2051282051282053,0.5,2.0
WBA,24,19,5,1,2.076923076923077,1.7788850130741112,2,-3,-4,-2.923076923076923,0.5,2.0
WBA,24,20,7,3,3.871794871794872,4.807130260243776,5,-2,-4,-3.128205128205128,0.5,2.0
WBA,24,21,7,3,3.871794871794872,4.601317905418991,5,-2,-4,-3.128205128205128,0.5,2.0
WBA,24,22,5,6,5.666666666666666,5.718782578890961,6,1,1,0.6666666666666661,0.5,2.0
WBA,24,23,1,2,2.076923076923077,2.0400125066734187,2,1,1,1.076923076923077,0.5,2.0
WBA,24,24,2,3,2.9743589743589745,2.820371377852552,3,1,1,0.9743589743589745,0.5,2.0
